x1,x2,x3
3636930.2,214494.08,-15.3
3636930.06,214494.41,-15.31
3636929.9,214494.81,-15.29
3636929.75,214495.21,-15.26
3636929.56,214495.7,-15.25
3636929.43,214496.05,-15.23
3636929.27,214496.46,-15.23
3636929.14,214496.88,-15.25
3636928.98,214497.38,-15.27
3636928.86,214497.73,-15.25
3636928.72,214498.17,-15.24
3636928.57,214498.6,-15.22
3636928.42,214499.14,-15.22
3636928.31,214499.47,-15.27
3636928.17,214499.88,-15.29
3636928.03,214500.29,-15.25
3636927.87,214500.78,-15.21
3636927.75,214501.12,-15.24
3636927.6,214501.53,-15.27
3636927.44,214501.93,-15.24
3636927.25,214502.4,-15.22
3636927.12,214502.71,-15.22
3636926.97,214503.09,-15.2
3636926.78,214503.46,-15.19
3636926.58,214503.89,-15.16
3636926.43,214504.19,-15.18
3636926.26,214504.55,-15.19
3636926.08,214504.94,-15.2
3636925.87,214505.38,-15.24
3636925.71,214505.65,-15.27
3636925.51,214505.98,-15.29
3636925.3,214506.31,-15.27
3636925.06,214506.71,-15.25
3636924.9,214506.97,-15.24
3636924.7,214507.3,-15.26
3636924.49,214507.64,-15.26
3636924.24,214508.04,-15.25
3636924.07,214508.31,-15.28
3636923.88,214508.64,-15.28
3636923.69,214508.98,-15.3
3636923.45,214509.39,-15.31
3636923.29,214509.69,-15.32
3636923.11,214510.05,-15.31
3636922.93,214510.42,-15.28
3636922.71,214510.88,-15.25
3636922.56,214511.2,-15.2
3636922.4,214511.58,-15.17
3636922.24,214511.96,-15.16
3636922.04,214512.43,-15.16
3636921.92,214512.78,-15.16
3636921.77,214513.2,-15.16
3636921.61,214513.62,-15.16
3636921.44,214514.11,-15.12
3636921.32,214514.46,-15.07
3636921.17,214514.87,-15.08
3636921.02,214515.29,-15.11
3636920.85,214515.8,-15.12
3636920.74,214516.16,-15.12
3636920.59,214516.62,-15.1
3636920.43,214517.07,-15.08
3636920.25,214517.62,-15.08
3636920.12,214518,-15.09
3636919.95,214518.45,-15.1
3636919.77,214518.91,-15.11
3636919.55,214519.47,-15.12
3636919.41,214519.86,-15.14
3636919.22,214520.34,-15.16
3636919.03,214520.81,-15.15
3636918.81,214521.38,-15.16
3636918.65,214521.76,-15.13
3636918.45,214522.23,-15.1
3636918.23,214522.69,-15.04
3636917.97,214523.23,-15.04
3636917.79,214523.61,-15.07
3636917.58,214524.08,-15.11
3636917.36,214524.55,-15.12
3636917.09,214525.12,-15.11
3636916.91,214525.5,-15.08
3636916.69,214525.96,-15.05
3636916.47,214526.42,-15.04
3636916.19,214526.98,-15.06
3636916,214527.37,-15.06
3636915.77,214527.85,-15.07
3636915.56,214528.34,-15.08
3636915.31,214528.93,-15.06
3636915.13,214529.36,-15.05
3636914.93,214529.88,-15.04
3636914.73,214530.41,-15.02
3636914.49,214531.04,-15.01
3636914.32,214531.47,-15
3636914.13,214532.01,-15.03
3636913.94,214532.57,-15.04
3636913.72,214533.21,-14.98
3636913.58,214533.66,-14.95
3636913.41,214534.2,-14.94
3636913.22,214534.79,-14.95
3636913.01,214535.45,-14.96
3636912.87,214535.91,-14.97
3636912.69,214536.49,-14.98
3636912.5,214537.04,-15
3636912.28,214537.7,-14.99
3636912.13,214538.16,-14.96
3636911.94,214538.71,-14.95
3636911.75,214539.28,-14.93
3636911.53,214539.94,-14.91
3636911.37,214540.41,-14.9
3636911.17,214540.98,-14.91
3636910.97,214541.55,-14.94
3636910.74,214542.17,-14.96
3636910.57,214542.6,-14.93
3636910.38,214543.14,-14.91
3636910.17,214543.68,-14.89
3636909.92,214544.28,-14.86
3636909.76,214544.7,-14.85
3636909.55,214545.23,-14.82
3636909.36,214545.74,-14.81
3636909.11,214546.32,-14.84
3636908.93,214546.72,-14.88
3636908.73,214547.22,-14.93
3636908.52,214547.69,-14.91
3636908.27,214548.25,-14.87
3636908.09,214548.64,-14.82
3636907.87,214549.1,-14.79
3636907.65,214549.55,-14.8
3636907.4,214550.05,-14.82
3636907.24,214550.4,-14.84
3636907.04,214550.83,-14.86
3636906.84,214551.25,-14.88
3636906.6,214551.74,-14.88
3636906.43,214552.08,-14.87
3636906.24,214552.47,-14.89
3636906.05,214552.86,-14.91
3636905.82,214553.31,-14.94
3636905.67,214553.62,-14.93
3636905.48,214554,-14.91
3636905.31,214554.39,-14.9
3636905.11,214554.84,-14.89
3636904.97,214555.14,-14.89
3636904.8,214555.5,-14.9
3636904.63,214555.86,-14.87
3636904.44,214556.28,-14.83
3636904.3,214556.57,-14.81
3636904.15,214556.92,-14.81
3636904.01,214557.28,-14.82
3636903.83,214557.71,-14.8
3636903.71,214558.01,-14.8
3636903.55,214558.37,-14.81
3636903.41,214558.73,-14.8
3636903.26,214559.15,-14.79
3636903.15,214559.44,-14.76
3636903,214559.81,-14.74
3636902.86,214560.18,-14.76
3636902.7,214560.61,-14.76
3636902.58,214560.91,-14.74
3636902.43,214561.27,-14.76
3636902.3,214561.63,-14.73
3636902.13,214562.06,-14.71
3636902.01,214562.36,-14.7
3636901.87,214562.74,-14.76
3636901.73,214563.12,-14.8
3636901.56,214563.55,-14.8
3636901.44,214563.86,-14.85
3636901.3,214564.22,-14.88
3636901.15,214564.59,-14.88
3636900.98,214565.03,-14.89
3636900.86,214565.34,-14.88
3636900.71,214565.72,-14.85
3636900.55,214566.1,-14.85
3636900.37,214566.55,-14.86
3636900.25,214566.88,-14.84
3636900.1,214567.27,-14.82
3636899.94,214567.67,-14.81
3636899.75,214568.12,-14.78
3636899.62,214568.45,-14.76
3636899.47,214568.86,-14.76
3636899.31,214569.27,-14.75
3636899.11,214569.77,-14.75
3636898.98,214570.12,-14.77
3636898.83,214570.55,-14.78
3636898.67,214570.98,-14.75
3636898.49,214571.49,-14.75
3636898.36,214571.85,-14.76
3636898.2,214572.28,-14.74
3636898.05,214572.73,-14.74
3636897.87,214573.27,-14.74
3636897.74,214573.62,-14.73
3636897.59,214574.09,-14.71
3636897.45,214574.55,-14.68
3636897.27,214575.09,-14.66
3636897.15,214575.48,-14.66
3636897,214575.96,-14.66
3636896.84,214576.44,-14.65
3636896.66,214577.01,-14.64
3636896.53,214577.41,-14.66
3636896.38,214577.87,-14.68
3636896.22,214578.34,-14.69
3636896.03,214578.91,-14.69
3636895.88,214579.29,-14.67
3636895.71,214579.77,-14.65
3636895.54,214580.27,-14.63
3636895.33,214580.83,-14.62
3636895.23,214581.1,-14.62
3636895.13,214581.38,-14.62
3636895.03,214581.64,-14.61
3636894.89,214582.02,-14.61
3636894.72,214582.5,-14.61
3636894.5,214583.04,-14.61
3636894.35,214583.41,-14.61
3636894.15,214583.9,-14.61
3636893.96,214584.37,-14.6
3636893.74,214584.91,-14.6
3636893.58,214585.28,-14.6
3636893.38,214585.73,-14.6
3636893.19,214586.18,-14.6
3636892.96,214586.7,-14.58
3636892.8,214587.07,-14.56
3636892.6,214587.52,-14.59
3636892.4,214587.95,-14.63
3636892.16,214588.46,-14.64
3636891.99,214588.81,-14.65
3636891.79,214589.23,-14.66
3636891.58,214589.65,-14.67
3636891.34,214590.16,-14.67
3636891.18,214590.51,-14.68
3636890.98,214590.92,-14.7
3636890.76,214591.32,-14.68
3636890.52,214591.8,-14.66
3636890.36,214592.14,-14.66
3636890.14,214592.55,-14.64
3636889.93,214592.95,-14.6
3636889.69,214593.43,-14.58
3636889.53,214593.78,-14.56
3636889.32,214594.19,-14.55
3636889.11,214594.6,-14.55
3636888.88,214595.09,-14.55
3636888.72,214595.43,-14.57
3636888.52,214595.84,-14.58
3636888.35,214596.25,-14.57
3636888.13,214596.75,-14.59
3636887.97,214597.1,-14.6
3636887.79,214597.53,-14.56
3636887.61,214597.96,-14.53
3636887.38,214598.48,-14.55
3636887.24,214598.83,-14.6
3636887.05,214599.28,-14.62
3636886.88,214599.72,-14.6
3636886.67,214600.26,-14.57
3636886.53,214600.63,-14.57
3636886.35,214601.09,-14.53
3636886.18,214601.54,-14.51
3636885.99,214602.09,-14.51
3636885.86,214602.45,-14.53
3636885.69,214602.93,-14.56
3636885.53,214603.41,-14.55
3636885.34,214603.99,-14.56
3636885.21,214604.39,-14.56
3636885.04,214604.86,-14.53
3636884.88,214605.36,-14.54
3636884.68,214605.91,-14.56
3636884.51,214606.28,-14.52
3636884.33,214606.77,-14.47
3636884.17,214607.27,-14.47
3636883.95,214607.82,-14.46
3636883.81,214608.21,-14.46
3636883.65,214608.71,-14.47
3636883.47,214609.2,-14.49
