x1,x2,x3
3636630.31,214543.94,-13.91
3636630.07,214544.33,-13.91
3636629.82,214544.71,-13.9
3636629.52,214545.15,-13.89
3636629.3,214545.46,-13.92
3636629.04,214545.83,-13.94
3636628.78,214546.21,-13.97
3636628.49,214546.66,-13.97
3636628.28,214546.97,-13.94
3636628.02,214547.34,-13.92
3636627.76,214547.74,-13.92
3636627.46,214548.22,-13.92
3636627.25,214548.55,-13.96
3636627,214548.95,-14.01
3636626.75,214549.34,-13.99
3636626.45,214549.84,-13.94
3636626.26,214550.18,-13.94
3636626.02,214550.62,-13.93
3636625.78,214551.04,-13.94
3636625.5,214551.54,-13.91
3636625.32,214551.9,-13.9
3636625.1,214552.34,-13.9
3636624.88,214552.78,-13.9
3636624.61,214553.31,-13.91
3636624.43,214553.7,-13.87
3636624.21,214554.18,-13.83
3636623.99,214554.65,-13.8
3636623.75,214555.22,-13.82
3636623.58,214555.63,-13.83
3636623.36,214556.09,-13.8
3636623.24,214556.36,-13.81
3636623.09,214556.75,-13.82
3636622.95,214557.12,-13.82
3636622.83,214557.42,-13.82
3636622.63,214557.92,-13.8
3636622.42,214558.41,-13.79
3636622.22,214558.91,-13.81
3636622,214559.51,-13.78
3636621.83,214559.92,-13.76
3636621.63,214560.43,-13.76
3636621.42,214560.96,-13.77
3636621.2,214561.58,-13.79
3636621.03,214562.02,-13.82
3636620.82,214562.55,-13.8
3636620.62,214563.08,-13.79
3636620.4,214563.69,-13.8
3636620.25,214564.13,-13.83
3636620.06,214564.65,-13.81
3636619.88,214565.16,-13.8
3636619.64,214565.76,-13.82
3636619.5,214566.2,-13.82
3636619.32,214566.75,-13.81
3636619.15,214567.28,-13.8
3636618.94,214567.87,-13.79
3636618.79,214568.28,-13.77
3636618.61,214568.77,-13.75
3636618.44,214569.28,-13.74
3636618.25,214569.88,-13.72
3636618.11,214570.3,-13.7
3636617.94,214570.8,-13.69
3636617.77,214571.31,-13.71
3636617.6,214571.91,-13.71
3636617.48,214572.32,-13.69
3636617.32,214572.81,-13.71
3636617.18,214573.31,-13.75
3636617.01,214573.9,-13.77
3636616.89,214574.32,-13.75
3636616.75,214574.81,-13.71
3636616.6,214575.31,-13.71
3636616.43,214575.88,-13.71
3636616.3,214576.27,-13.73
3636616.15,214576.76,-13.7
3636616,214577.26,-13.66
3636615.81,214577.84,-13.65
3636615.68,214578.23,-13.65
3636615.53,214578.71,-13.66
3636615.37,214579.18,-13.69
3636615.18,214579.73,-13.71
3636615.06,214580.12,-13.73
3636614.91,214580.58,-13.74
3636614.76,214581.06,-13.75
3636614.57,214581.62,-13.73
3636614.44,214582,-13.72
3636614.29,214582.48,-13.71
3636614.14,214582.95,-13.69
3636613.95,214583.51,-13.68
3636613.83,214583.89,-13.68
3636613.67,214584.36,-13.65
3636613.51,214584.84,-13.62
3636613.32,214585.41,-13.62
3636613.21,214585.79,-13.63
3636613.06,214586.28,-13.63
3636612.92,214586.76,-13.65
3636612.74,214587.32,-13.66
3636612.61,214587.71,-13.68
3636612.45,214588.18,-13.68
3636612.3,214588.66,-13.67
3636612.1,214589.23,-13.66
3636611.97,214589.64,-13.62
3636611.81,214590.12,-13.6
3636611.64,214590.61,-13.61
3636611.44,214591.19,-13.59
3636611.31,214591.59,-13.55
3636611.13,214592.07,-13.57
3636610.95,214592.57,-13.6
3636610.73,214593.16,-13.57
3636610.57,214593.58,-13.54
3636610.38,214594.08,-13.52
3636610.2,214594.56,-13.51
3636609.97,214595.18,-13.5
3636609.8,214595.6,-13.49
3636609.59,214596.1,-13.48
3636609.38,214596.61,-13.48
3636609.13,214597.23,-13.48
3636608.97,214597.67,-13.49
3636608.77,214598.19,-13.49
3636608.57,214598.72,-13.48
3636608.31,214599.35,-13.48
3636608.15,214599.8,-13.48
3636607.96,214600.35,-13.47
3636607.76,214600.89,-13.47
3636607.52,214601.54,-13.45
3636607.35,214601.97,-13.45
3636607.14,214602.5,-13.43
3636606.93,214603.04,-13.41
3636606.7,214603.69,-13.46
3636606.52,214604.15,-13.5
3636606.29,214604.73,-13.51
3636606.06,214605.27,-13.51
3636605.81,214605.88,-13.47
3636605.64,214606.3,-13.45
3636605.4,214606.86,-13.44
3636605.16,214607.41,-13.42
3636604.88,214608.04,-13.38
3636604.68,214608.47,-13.37
3636604.45,214608.99,-13.37
3636604.19,214609.53,-13.36
3636603.89,214610.15,-13.36
3636603.67,214610.6,-13.33
3636603.41,214611.11,-13.29
3636603.15,214611.62,-13.26
3636602.83,214612.22,-13.27
3636602.6,214612.66,-13.31
3636602.31,214613.16,-13.31
3636602.03,214613.65,-13.28
3636601.68,214614.25,-13.25
3636601.45,214614.66,-13.23
3636601.16,214615.17,-13.25
3636600.88,214615.64,-13.33
3636600.52,214616.22,-13.37
3636600.28,214616.62,-13.34
3636599.99,214617.1,-13.33
3636599.7,214617.56,-13.32
3636599.36,214618.1,-13.33
3636599.13,214618.47,-13.34
3636598.84,214618.93,-13.35
3636598.54,214619.4,-13.37
3636598.21,214619.94,-13.42
3636597.98,214620.33,-13.48
3636597.69,214620.79,-13.51
3636597.4,214621.25,-13.49
3636597.05,214621.78,-13.45
3636596.81,214622.14,-13.42
3636596.51,214622.61,-13.38
3636596.23,214623.04,-13.36
3636595.89,214623.56,-13.33
3636595.66,214623.91,-13.33
3636595.38,214624.34,-13.33
3636595.08,214624.78,-13.32
3636594.74,214625.28,-13.28
3636594.5,214625.63,-13.27
3636594.2,214626.05,-13.29
3636593.91,214626.47,-13.3
3636593.55,214626.96,-13.29
3636593.3,214627.31,-13.27
3636593,214627.72,-13.24
3636592.69,214628.15,-13.21
3636592.33,214628.63,-13.18
3636592.09,214628.96,-13.17
3636591.8,214629.37,-13.19
3636591.52,214629.8,-13.22
3636591.2,214630.28,-13.24
3636590.96,214630.63,-13.24
3636590.69,214631.06,-13.24
3636590.41,214631.48,-13.25
3636590.09,214631.97,-13.25
3636589.86,214632.3,-13.24
3636589.58,214632.71,-13.22
3636589.31,214633.11,-13.2
3636588.96,214633.61,-13.19
3636588.72,214633.96,-13.2
3636588.45,214634.36,-13.2
3636588.17,214634.76,-13.2
3636587.81,214635.23,-13.18
3636587.57,214635.55,-13.18
3636587.27,214635.93,-13.16
3636586.97,214636.33,-13.14
3636586.59,214636.78,-13.15
3636586.34,214637.09,-13.21
3636586.02,214637.46,-13.21
3636585.7,214637.85,-13.2
3636585.33,214638.29,-13.18
3636585.07,214638.59,-13.13
3636584.76,214638.97,-13.13
3636584.44,214639.35,-13.15
3636584.08,214639.79,-13.15
3636583.82,214640.11,-13.17
3636583.51,214640.51,-13.18
3636583.22,214640.89,-13.13
3636582.87,214641.36,-13.14
3636582.62,214641.68,-13.17
3636582.33,214642.1,-13.17
3636582.03,214642.53,-13.16
3636581.69,214643.03,-13.15
3636581.47,214643.38,-13.14
3636581.2,214643.81,-13.13
3636580.93,214644.24,-13.12
3636580.63,214644.77,-13.11
3636580.42,214645.15,-13.09
3636580.2,214645.6,-13.08
3636579.96,214646.07,-13.08
3636579.67,214646.63,-13.08
3636579.54,214646.9,-13.09
3636579.39,214647.18,-13.09
3636579.25,214647.43,-13.08
3636579.05,214647.79,-13.06
3636578.81,214648.25,-13.06
3636578.53,214648.82,-13.05
3636578.31,214649.17,-13.03
3636578.05,214649.62,-13.03
3636577.8,214650.09,-13.04
3636577.5,214650.62,-13.05
3636577.29,214651,-13.06
3636577.05,214651.47,-13.06
3636576.79,214651.91,-13.05
3636576.48,214652.43,-13.04
3636576.27,214652.79,-13.03
3636576.02,214653.25,-13.02
3636575.76,214653.71,-13
3636575.45,214654.22,-12.99
3636575.24,214654.57,-12.99
3636574.97,214654.99,-12.98
3636574.72,214655.39,-12.97
3636574.41,214655.89,-13
3636574.2,214656.24,-13.02
3636573.94,214656.66,-13
